homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
1,0.5,1,0,r,4,4,0.0,Houston Astros,10.5,35537,0.47,0.996,79.1,11.4,41829,2.9153333333333333,0.374,0.2,0.225,0.227,0.182,0.16
1,1.5,0,0,tb,7,3,0.0,Houston Astros,10.5,35537,0.47,0.996,79.1,11.4,41829,2.9153333333333333,0.374,0.2,0.225,0.227,0.182,0.16
0,0.5,0,0,r,1,1,0.0,Texas Rangers,10.5,34886,1.08,0.518,79.1,11.4,36080,6.105076923076923,0.56,0.29,0.258,0.284,0.308,0.25
0,1.5,0,0,tb,2,1,0.0,Texas Rangers,10.5,34886,1.08,0.518,79.1,11.4,36080,6.105076923076923,0.56,0.29,0.258,0.284,0.308,0.25
0,0.5,0,0,r,2,2,0.0,Texas Rangers,10.5,40574,1.08,0.755,79.1,11.4,36080,6.105076923076923,0.56,0.256,0.239,0.241,0.307,0.25
0,0.5,0,0,tb,5,3,0.0,Texas Rangers,10.5,40574,1.08,0.755,79.1,11.4,36080,6.105076923076923,0.56,0.256,0.239,0.241,0.307,0.25
1,0.5,0,0,r,4,4,0.0,Houston Astros,10.5,32691,0.47,0.918,79.1,11.4,41829,2.9153333333333333,0.374,0.281,0.272,0.273,0.289,0.138
1,1.5,0,0,tb,7,3,0.0,Houston Astros,10.5,32691,0.47,0.918,79.1,11.4,41829,2.9153333333333333,0.374,0.281,0.272,0.273,0.289,0.138
1,0.5,0,0,r,2,2,0.0,Houston Astros,10.5,4917921,0.47,0.494,79.1,11.4,41829,2.9153333333333333,0.374,0.264,0.242,0.249,0.292,0.125
1,1.5,0,0,tb,4,2,0.0,Houston Astros,10.5,4917921,0.47,0.494,79.1,11.4,41829,2.9153333333333333,0.374,0.264,0.242,0.249,0.292,0.125
0,0.5,1,0,r,1,1,0.0,Texas Rangers,10.5,40719,1.08,0.853,79.1,11.4,36080,6.105076923076923,0.56,0.278,0.165,0.212,0.275,0.091
0,0.5,1,0,tb,3,2,0.0,Texas Rangers,10.5,40719,1.08,0.853,79.1,11.4,36080,6.105076923076923,0.56,0.278,0.165,0.212,0.275,0.091
1,0.5,0,0,r,4,4,0.0,Houston Astros,10.5,35673,0.47,0.962,79.1,11.4,41829,2.9153333333333333,0.374,0.3,0.163,0.183,0.4,0.0
1,0.5,0,0,tb,9,5,0.0,Houston Astros,10.5,35673,0.47,0.962,79.1,11.4,41829,2.9153333333333333,0.374,0.3,0.163,0.183,0.4,0.0
0,0.5,0,0,r,3,3,0.0,Texas Rangers,10.5,41273,1.08,1.064,79.1,11.4,36080,6.105076923076923,0.56,0.317,0.242,0.266,0.328,0.216
0,1.5,0,0,tb,5,2,0.0,Texas Rangers,10.5,41273,1.08,1.064,79.1,11.4,36080,6.105076923076923,0.56,0.317,0.242,0.266,0.328,0.216
0,0.5,0,0,r,0,0,0.0,Texas Rangers,10.5,31206,1.08,0.48,79.1,11.4,36080,6.105076923076923,0.56,0.25,0.187,0.202,0.314,0.292
0,0.5,0,0,tb,1,1,0.0,Texas Rangers,10.5,31206,1.08,0.48,79.1,11.4,36080,6.105076923076923,0.56,0.25,0.187,0.202,0.314,0.292
1,0.5,0,0,r,1,1,0.0,Houston Astros,10.5,33842,0.47,0.527,79.1,11.4,41829,2.9153333333333333,0.374,0.216,0.229,0.224,0.161,0.3
1,1.5,0,0,tb,3,2,0.0,Houston Astros,10.5,33842,0.47,0.527,79.1,11.4,41829,2.9153333333333333,0.374,0.216,0.229,0.224,0.161,0.3
0,0.5,1,0,r,3,3,0.0,Texas Rangers,10.5,31662,1.08,1.092,79.1,11.4,36080,6.105076923076923,0.56,0.319,0.291,0.312,0.323,0.316
0,1.5,0,0,tb,6,3,0.0,Texas Rangers,10.5,31662,1.08,1.092,79.1,11.4,36080,6.105076923076923,0.56,0.319,0.291,0.312,0.323,0.316
1,0.5,0,0,r,2,2,0.0,Houston Astros,10.5,42884,0.47,0.89,79.1,11.4,41829,2.9153333333333333,0.374,0.234,0.235,0.26,0.281,0.167
1,0.5,0,0,tb,6,4,0.0,Houston Astros,10.5,42884,0.47,0.89,79.1,11.4,41829,2.9153333333333333,0.374,0.234,0.235,0.26,0.281,0.167
0,0.5,0,0,r,2,2,0.0,Texas Rangers,10.5,34967,1.08,0.999,79.1,11.4,36080,6.105076923076923,0.56,0.262,0.233,0.242,0.213,0.312
0,1.5,0,0,tb,5,3,0.0,Texas Rangers,10.5,34967,1.08,0.999,79.1,11.4,36080,6.105076923076923,0.56,0.262,0.233,0.242,0.213,0.312
1,0.5,0,0,r,3,3,0.0,Houston Astros,10.5,32146,0.47,0.781,79.1,11.4,41829,2.9153333333333333,0.374,0.255,0.222,0.25,0.211,0.267
1,1.5,0,0,tb,6,3,0.0,Houston Astros,10.5,32146,0.47,0.781,79.1,11.4,41829,2.9153333333333333,0.374,0.255,0.222,0.25,0.211,0.267
1,0.5,0,0,r,1,1,0.0,Houston Astros,10.5,32751,0.47,2.084,79.1,11.4,41829,2.9153333333333333,0.374,0.167,0.19,0.196,0.184,0.2
1,0.5,0,0,tb,3,2,0.0,Houston Astros,10.5,32751,0.47,2.084,79.1,11.4,41829,2.9153333333333333,0.374,0.167,0.19,0.196,0.184,0.2
1,0.5,0,0,r,2,2,0.0,Houston Astros,10.5,4719324,0.47,0.673,79.1,11.4,41829,2.9153333333333333,0.374,0.211,0.262,0.244,0.308,0.0
1,1.5,0,0,tb,3,1,0.0,Houston Astros,10.5,4719324,0.47,0.673,79.1,11.4,41829,2.9153333333333333,0.374,0.211,0.262,0.244,0.308,0.0
0,0.5,0,0,r,2,2,0.0,Texas Rangers,10.5,4781491,1.08,1.186,79.1,11.4,36080,6.105076923076923,0.56,0.312,0.262,0.271,0.306,0.22
0,1.5,0,0,tb,5,3,0.0,Texas Rangers,10.5,4781491,1.08,1.186,79.1,11.4,36080,6.105076923076923,0.56,0.312,0.262,0.271,0.306,0.22
0,0.5,1,0,r,3,3,0.0,Texas Rangers,10.5,36018,1.08,0.59,79.1,11.4,36080,6.105076923076923,0.56,0.332,0.308,0.331,0.375,0.333
0,1.5,1,0,tb,5,2,0.0,Texas Rangers,10.5,36018,1.08,0.59,79.1,11.4,36080,6.105076923076923,0.56,0.332,0.308,0.331,0.375,0.333
1,0.5,0,1,r,3,3,0.0,Miami Marlins,8.0,33192,1.53,0.646,60,8.1,39667,6.237,0.483,0.355,0.248,0.336,0.287,0.184
1,1.5,0,1,tb,5,2,0.0,Miami Marlins,8.0,33192,1.53,0.646,60,8.1,39667,6.237,0.483,0.355,0.248,0.336,0.287,0.184
0,0.5,0,0,r,1,1,0.0,St. Louis Cardinals,9.0,41169,1.47,0.64,74,9.2,32116,4.237,0.484,0.249,0.299,0.282,0.252,0.279
0,1.5,1,0,tb,3,1,0.0,St. Louis Cardinals,9.0,41169,1.47,0.64,74,9.2,32116,4.237,0.484,0.249,0.299,0.282,0.252,0.279
1,0.5,0,0,r,1,1,0.0,Philadelphia Phillies,9.0,4345070,0.55,0.429,74,9.2,33732,1.418818181818182,0.477,0.257,0.288,0.284,0.227,0.194
1,1.5,1,0,tb,1,0,0.0,Philadelphia Phillies,9.0,4345070,0.55,0.429,74,9.2,33732,1.418818181818182,0.477,0.257,0.288,0.284,0.227,0.194
1,0.5,0,0,r,0,0,0.0,Seattle Mariners,8.0,42081,1.91,0.341,45,8.1,35124,3.3685789473684213,0.631,0.263,0.228,0.205,0.296,0.0
1,1.5,0,0,tb,1,1,0.0,Seattle Mariners,8.0,42081,1.91,0.341,45,8.1,35124,3.3685789473684213,0.631,0.263,0.228,0.205,0.296,0.0
0,0.5,0,1,r,1,1,0.0,Texas Rangers,10.0,34886,1.36,0.529,76.9,9.2,32672,4.471567901234568,0.539,0.286,0.258,0.284,0.208,0.175
0,1.5,1,1,tb,2,1,0.0,Texas Rangers,10.0,34886,1.36,0.529,76.9,9.2,32672,4.471567901234568,0.539,0.286,0.258,0.284,0.208,0.175
1,0.5,1,1,r,2,1,0.0,Miami Marlins,8.0,33786,1.53,0.469,60,8.1,39667,6.237,0.483,0.245,0.226,0.276,0.198,0.184
1,0.5,1,1,tb,4,2,0.0,Miami Marlins,8.0,33786,1.53,0.469,60,8.1,39667,6.237,0.483,0.245,0.226,0.276,0.198,0.184
0,0.5,0,1,r,1,1,0.0,Los Angeles Angels,8.5,33215,0.79,0.62,70.1,11.4,32151,2.737,0.642,0.28,0.295,0.296,0.287,0.333
0,1.5,0,1,tb,2,1,0.0,Los Angeles Angels,8.5,33215,0.79,0.62,70.1,11.4,32151,2.737,0.642,0.28,0.295,0.296,0.287,0.333
1,0.5,0,0,r,0,0,0.0,Houston Astros,10.0,36170,70.0,0.0,76.9,9.2,4081414,123.237,0.59,0.275,0.159,0.196,0.455,0.333
1,0.5,0,0,tb,0,0,0.0,Houston Astros,10.0,36170,70.0,0.0,76.9,9.2,4081414,123.237,0.59,0.275,0.159,0.196,0.455,0.333
1,0.5,1,0,r,1,1,0.0,Detroit Tigers,8.0,28701,1.7,0.578,67,6.9,4734319,4.1370000000000005,0.45,0.268,0.205,0.253,0.34,0.316
1,0.5,1,0,tb,3,2,0.0,Detroit Tigers,8.0,28701,1.7,0.578,67,6.9,4734319,4.1370000000000005,0.45,0.268,0.205,0.253,0.34,0.316
1,0.5,1,1,r,3,2,0.0,Miami Marlins,8.0,30782,1.53,0.597,60,8.1,39667,6.237,0.483,0.248,0.237,0.17,0.228,0.312
1,0.5,1,1,tb,6,3,0.0,Miami Marlins,8.0,30782,1.53,0.597,60,8.1,39667,6.237,0.483,0.248,0.237,0.17,0.228,0.312
1,0.5,1,1,r,4,3,0.0,Miami Marlins,8.0,42547,1.53,1.194,60,8.1,39667,6.237,0.483,0.267,0.22,0.244,0.263,0.295
1,0.5,1,1,tb,8,3,0.0,Miami Marlins,8.0,42547,1.53,1.194,60,8.1,39667,6.237,0.483,0.267,0.22,0.244,0.263,0.295
1,0.5,1,1,r,0,0,0.0,Los Angeles Dodgers,8.5,4297998,1.18,0.0,49,10.3,31980,4.418818181818182,0.639,0.239,0.224,0.248,0.273,0.333
1,0.5,0,1,tb,0,0,0.0,Los Angeles Dodgers,8.5,4297998,1.18,0.0,49,10.3,31980,4.418818181818182,0.639,0.239,0.224,0.248,0.273,0.333
1,0.5,0,0,r,4,4,0.0,New York Mets,10.0,34982,3.64,0.788,74.9,9.2,31091,9.146090909090908,0.744,0.277,0.258,0.291,0.267,0.158
1,1.5,0,0,tb,7,3,0.0,New York Mets,10.0,34982,3.64,0.788,74.9,9.2,31091,9.146090909090908,0.744,0.277,0.258,0.291,0.267,0.158
0,0.5,0,1,r,1,1,0.0,New York Yankees,8.0,30729,1.06,0.556,60,8.1,36480,3.1814444444444447,0.758,0.278,0.148,0.232,0.235,0.0
0,0.5,0,1,tb,3,2,0.0,New York Yankees,8.0,30729,1.06,0.556,60,8.1,36480,3.1814444444444447,0.758,0.278,0.148,0.232,0.235,0.0
0,0.5,1,1,r,2,2,0.0,Colorado Rockies,10.5,41345,3.04,0.92,56,8.1,33839,7.942882352941177,0.47,0.341,0.26,0.268,0.357,0.125
0,1.5,0,1,tb,4,2,0.0,Colorado Rockies,10.5,41345,3.04,0.92,56,8.1,33839,7.942882352941177,0.47,0.341,0.26,0.268,0.357,0.125
1,0.5,1,0,r,1,1,0.0,Seattle Mariners,8.0,38904,1.91,0.45,45,8.1,35124,3.3685789473684213,0.631,0.268,0.23,0.277,0.301,0.2
1,1.5,1,0,tb,3,2,0.0,Seattle Mariners,8.0,38904,1.91,0.45,45,8.1,35124,3.3685789473684213,0.631,0.268,0.23,0.277,0.301,0.2
0,0.5,1,0,r,1,1,0.0,St. Louis Cardinals,9.0,40803,1.47,0.945,74,9.2,32116,4.237,0.484,0.264,0.237,0.253,0.323,0.25
