homeaway,line,hit,rightleft,opprank,cat,last5,oppteam,pitcherID,righthitters,inningspitchedlast3,temperature,wind,fip,overunder
1,16.5,1,0,21,outs,1,Houston Astros,36080,7,6.1,79.1,11.4,6.105076923076923,10.5
1,2.5,1,0,22,era,1,Houston Astros,36080,7,6.1,79.1,11.4,6.105076923076923,10.5
1,5.5,0,0,11,hits,0,Houston Astros,36080,7,6.1,79.1,11.4,6.105076923076923,10.5
0,15.5,1,0,5,outs,1,Texas Rangers,41829,3,9.0,79.1,11.4,2.9153333333333333,10.5
0,3.5,0,0,5,era,0,Texas Rangers,41829,3,9.0,79.1,11.4,2.9153333333333333,10.5
0,5.5,0,0,2,hits,0,Texas Rangers,41829,3,9.0,79.1,11.4,2.9153333333333333,10.5
0,14.5,0,1,8,outs,0,Cincinnati Reds,41325,9,0.0,74,8.1,7.9245,9.5
0,2.5,1,1,8,era,0,Cincinnati Reds,41325,9,0.0,74,8.1,7.9245,9.5
0,4.5,1,1,12,hits,0,Cincinnati Reds,41325,9,0.0,74,8.1,7.9245,9.5
1,14.5,0,1,17,outs,0,Houston Astros,32672,9,4.2,76.9,9.2,4.471567901234568,10.0
1,2.5,1,1,17,era,0,Houston Astros,32672,9,4.2,76.9,9.2,4.471567901234568,10.0
1,5.5,0,1,8,hits,0,Houston Astros,32672,9,4.2,76.9,9.2,4.471567901234568,10.0
1,14.5,1,0,7,outs,0,Los Angeles Dodgers,3107919,2,1.1,49,10.3,8.482901639344263,8.5
1,2.5,0,0,7,era,1,Los Angeles Dodgers,3107919,2,1.1,49,10.3,8.482901639344263,8.5
1,4.5,0,0,4,hits,1,Los Angeles Dodgers,3107919,2,1.1,49,10.3,8.482901639344263,8.5
1,1.5,1,1,20,era,0,Washington Nationals,33748,6,0.0,49,10.3,1.9036666666666668,8.5
1,3.5,0,1,19,hits,0,Washington Nationals,33748,6,0.0,49,10.3,1.9036666666666668,8.5
1,16.5,1,0,25,outs,0,New York Mets,29155,3,5.2,74.9,9.2,4.768531531531532,10.0
1,2.5,1,0,25,era,0,New York Mets,29155,3,5.2,74.9,9.2,4.768531531531532,10.0
1,3.5,1,0,27,hits,0,New York Mets,29155,3,5.2,74.9,9.2,4.768531531531532,10.0
0,15.5,1,1,29,outs,0,Minnesota Twins,31980,9,5.0,49,10.3,4.418818181818182,8.5
0,2.5,0,1,29,era,0,Minnesota Twins,31980,9,5.0,49,10.3,4.418818181818182,8.5
0,4.5,0,1,30,hits,0,Minnesota Twins,31980,9,5.0,49,10.3,4.418818181818182,8.5
0,15.5,0,0,10,outs,0,San Diego Padres,5002950,5,6.0,63.1,9.2,3.600636363636364,7.5
0,2.5,0,0,10,era,0,San Diego Padres,5002950,5,6.0,63.1,9.2,3.600636363636364,7.5
0,5.5,0,0,9,hits,0,San Diego Padres,5002950,5,6.0,63.1,9.2,3.600636363636364,7.5
0,4.5,0,0,12,hits,1,San Diego Padres,41516,5,0.0,63.1,9.2,3.525029702970297,7.5
1,15.5,1,0,4,outs,0,Arizona Diamondbacks,39875,5,0.0,56,8.1,6.3613333333333335,10.5
1,3.5,0,0,4,era,2,Arizona Diamondbacks,39875,5,0.0,56,8.1,6.3613333333333335,10.5
1,6.5,1,0,7,hits,1,Arizona Diamondbacks,39875,5,0.0,56,8.1,6.3613333333333335,10.5
1,17.5,0,0,2,outs,1,Chicago Cubs,34848,5,0.0,63.1,9.2,4.774961325966851,7.5
1,2.5,1,0,2,era,2,Chicago Cubs,34848,5,0.0,63.1,9.2,4.774961325966851,7.5
1,5.5,0,0,9,hits,2,Chicago Cubs,34848,5,0.0,63.1,9.2,4.774961325966851,7.5
1,17.5,1,1,19,outs,1,Washington Nationals,4683375,6,0.0,62,10.3,4.992705882352942,7.5
1,2.5,1,1,19,era,1,Washington Nationals,4683375,6,0.0,62,10.3,4.992705882352942,7.5
1,5.5,0,1,19,hits,2,Washington Nationals,4683375,6,0.0,62,10.3,4.992705882352942,7.5
