homeaway,line,hit,rightleft,opprank,last5,oppteam,pitcherID,k9,righthitters,inningspitchedlast3,kpercent,temperature,wind,fip,overunder,walkperKTeam,Kperwalk
1,4.5,1,0,1,1,Houston Astros,36080,9.69,7,6.1,0.32,79.1,11.4,6.105076923076923,10.5,0.3721518987341772,2.272727272727273
0,4.5,0,0,7,1,Texas Rangers,41829,6.6,3,9.0,0.24,79.1,11.4,2.9153333333333333,10.5,0.4051222351571595,2.5208333333333335
1,3.5,0,1,2,1,Houston Astros,32672,10.0,9,4.2,0.26,76.9,9.2,4.471567901234568,10.0,0.3721518987341772,3.4516129032258065
1,5.5,1,0,25,0,Los Angeles Dodgers,3107919,11.8,2,1.1,0.28,49,10.3,8.482901639344263,8.5,0.4561586638830898,4.413793103448276
1,6.5,0,0,9,0,New York Mets,29155,8.11,3,5.2,0.26,74.9,9.2,4.768531531531532,10.0,0.3926247288503254,2.5952380952380953
0,5.5,0,1,27,0,Minnesota Twins,31980,7.36,9,5.0,0.23,49,10.3,4.418818181818182,8.5,0.3887005649717514,1.4081632653061225
0,3.5,1,0,3,1,San Diego Padres,5002950,9.82,5,6.0,0.32,63.1,9.2,3.600636363636364,7.5,0.4155672823218997,1.9777777777777779
0,3.5,1,0,5,1,San Diego Padres,41516,9.8,5,0.0,0.29,63.1,9.2,3.525029702970297,7.5,0.4155672823218997,3.3684210526315788
1,3.5,1,0,1,0,Arizona Diamondbacks,39875,6.0,5,0.0,0.16,56,8.1,6.3613333333333335,10.5,0.43187066974595845,1.9166666666666667
0,3.5,0,0,11,0,San Francisco Giants,4684360,4.5,4,0.0,0.15,62,10.3,4.478,7.5,0.3830227743271222,1.3333333333333333
1,6.5,0,0,9,1,Chicago Cubs,34848,8.45,5,0.0,0.23,63.1,9.2,4.774961325966851,7.5,0.37676767676767675,2.933333333333333
0,5.5,0,0,24,1,Colorado Rockies,32968,7.5,5,0.0,0.24,56,8.1,3.5405,10.5,0.28610354223433243,3.5
0,5.5,0,0,19,0,St. Louis Cardinals,33709,5.62,5,0.0,0.16,74,9.2,6.71,9.0,0.3459051724137931,3.823529411764706
1,3.5,1,1,1,1,Arizona Diamondbacks,34897,8.87,7,0.0,0.24,56,8.1,5.674788732394367,10.5,0.43187066974595845,3.0
0,6.5,0,0,28,1,Minnesota Twins,4326703,14.46,0,0.0,0.41,49,10.3,3.9242857142857144,8.5,0.3887005649717514,1.5
1,4.5,1,0,27,0,Los Angeles Dodgers,35999,7.68,0,4.0,0.2,49,10.3,6.136829268292683,8.5,0.4561586638830898,3.761904761904762
1,6.5,1,1,25,0,Oakland Athletics,4142539,8.01,0,0.0,0.25,65,12.8,2.4246596858638743,8.5,0.3289349670122526,6.0
0,4.5,0,1,28,0,Boston Red Sox,39869,6.3,0,5.0,0.17,54.1,8.1,4.609999999999999,9.0,0.32358490566037734,3.142857142857143
1,7.5,0,0,12,0,Chicago Cubs,34943,11.11,4,0.0,0.34,63.1,9.2,2.6544444444444446,7.5,0.37676767676767675,4.046511627906977
1,4.5,1,0,7,2,Baltimore Orioles,41277,10.66,0,0.0,0.33,54.1,8.1,2.6178947368421053,9.0,0.36069114470842334,4.066666666666666
0,3.5,0,0,4,1,San Diego Padres,33173,5.9,5,0.0,0.13,63.1,9.2,8.21,7.5,0.4155672823218997,2.3076923076923075
1,6.5,0,0,22,1,Philadelphia Phillies,30820,12.27,0,0.0,0.33,74,9.2,4.800909090909091,9.0,0.4036208732694356,2.3658536585365852
0,4.5,1,0,10,2,Toronto Blue Jays,41221,10.3,0,0.0,0.31,45,8.1,3.956268656716418,8.0,0.42942583732057416,5.5
0,4.5,0,1,6,1,San Francisco Giants,31313,5.62,0,0.0,0.14,62,10.3,4.335,7.5,0.3830227743271222,2.282051282051282
1,4.5,0,0,2,0,Houston Astros,34873,4.45,0,0.0,0.13,66.8,5.8,3.21,8.5,0.3721518987341772,3.8484848484848486
1,6.5,0,0,15,1,Chicago White Sox,4345278,10.23,0,0.0,0.27,67,5.8,4.952424242424242,8.5,0.2852852852852853,4.258064516129032
1,5.5,1,1,30,1,Seattle Mariners,41415,11.84,0,0.0,0.34,45,8.1,2.8152631578947367,8.0,0.3301476976542137,4.2727272727272725
1,4.5,0,0,6,0,New York Mets,4345949,1.8,5,0.0,0.04,69,17.2,6.619,9.5,0.3926247288503254,1.0
1,3.5,1,0,2,2,Houston Astros,41172,8.95,7,0.0,0.28,60,21.9,3.660988950276243,8.5,0.3721518987341772,3.1944444444444446
1,4.5,0,0,9,1,Baltimore Orioles,39674,10.21,3,0.0,0.31,53,6.9,3.3608439716312057,8.5,0.36069114470842334,2.4285714285714284
0,6.5,0,0,27,2,Boston Red Sox,41196,10.5,4,0.0,0.3,53,6.9,3.8856666666666664,8.5,0.32358490566037734,3.611111111111111
0,5.5,0,1,3,0,Texas Rangers,39818,4.14,8,0.0,0.12,67.9,13.9,5.587421052631579,9.5,0.4051222351571595,2.787878787878788
1,6.5,1,0,27,0,Oakland Athletics,33203,10.41,5,0.0,0.27,67.9,13.9,4.7892479338842975,9.5,0.3289349670122526,3.391304347826087
0,4.5,0,1,16,0,Atlanta Braves,32106,7.11,7,0.0,0.2,69,17.2,4.929526315789474,9.5,0.31287128712871287,2.1363636363636362
0,5.5,0,1,13,0,Chicago White Sox,4414528,5.79,7,5.05,0.17,58,21.9,3.602877192982456,9.0,0.2852852852852853,2.108695652173913
0,4.5,0,1,21,0,Philadelphia Phillies,4705677,3.6,5,5.0,0.11,61.1,19.5,4.985333333333333,9.5,0.4036208732694356,2.2857142857142856
1,5.5,0,0,18,2,St. Louis Cardinals,4721302,9.44,5,5.1,0.25,88.1,15,4.486567901234568,9.5,0.3459051724137931,4.214285714285714
1,5.5,0,0,10,2,Chicago Cubs,4654313,8.45,5,6.0,0.26,56.9,10.3,3.8044861878453036,8.0,0.37676767676767675,3.7666666666666666
1,4.5,0,0,25,0,Cincinnati Reds,36067,4.81,6,5.1,0.12,58,21.9,6.534442748091603,9.0,0.3336653386454183,1.8043478260869565
1,5.5,1,1,24,1,Pittsburgh Pirates,42359,8.94,9,4.55,0.25,61.1,19.5,2.6559735099337747,9.5,0.3366045142296369,3.161290322580645
0,4.5,0,0,2,2,Houston Astros,36080,8.5,5,6.15,0.27,74.9,10.3,6.252,9.5,0.3721518987341772,2.272727272727273
0,6.5,1,0,13,2,Baltimore Orioles,39825,13.6,4,5.6,0.43,60,20.8,2.4380465116279066,8.5,0.36069114470842334,3.311111111111111
