homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,gamescore,minutes,oppteam,shots,spread,date,favorite,injuredStarters,injuredBench,shootingPLast3,shootingPLast5,lastGameHit,threePTPercentlast5,threePTPercentlast3,id,odds,underodds,injuredUsage,usageP,restDays
0,0.5,1,Shooting Guard,16,steals,0.4,0.4,0.55,13,217.5,0.1,Charlotte,-1.7,POR -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,0,36.660000000000004,36.660000000000004,4351851,−145,+114,19.011726676457943,24.602226960322696,1
0,19.5,1,Shooting Guard,13,points,0.6,0.4,0.0,5,216.5,0.1,Charlotte,-1.7,CHA -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,1,36.660000000000004,36.660000000000004,4351851,−105,−125,19.011726676457943,24.602226960322696,1
0,2.5,1,Shooting Guard,21,3-pt,0.8,0.6,0.6,10,217.5,0.1,Charlotte,-1.7,POR -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,1,36.660000000000004,36.660000000000004,4351851,−166,+130,19.011726676457943,24.602226960322696,1
0,2.5,1,Shooting Guard,25,rebounds,0.6,0.6,0.53,16,217.5,0.1,Charlotte,-1.7,POR -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,1,36.660000000000004,36.660000000000004,4351851,−154,+120,19.011726676457943,24.602226960322696,1
0,27.5,1,Shooting Guard,20,pra,0.5,0.2,0.53,9,217.5,0.1,Charlotte,-1.7,POR -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,0,36.660000000000004,36.660000000000004,4351851,−110,−120,19.011726676457943,24.602226960322696,1
0,4.5,0,Shooting Guard,17,assists,0.4,0.2,0.55,22,217.5,0.1,Charlotte,-1.7,POR -1.5,2025-01-24 14:00:08.318488,1,1,2,32.36,45.6,0,36.660000000000004,36.660000000000004,4351851,−125,−105,19.011726676457943,24.602226960322696,1
1,5.5,1,Power Forward,27,rebounds,0.2,0.0,0.34,14,243.5,-0.2,New Orleans,-0.8,MEM -9.5,2025-01-24 14:00:08.318488,1,0,6,60.48,70.8,0,0.0,0.0,3906665,−125,−105,122.78538233786139,14.314398306279195,2
1,8.5,1,Power Forward,25,points,0.5,0.4,0.0,21,243.5,-0.2,New Orleans,-0.8,MEM -9.5,2025-01-24 14:00:08.318488,1,0,6,60.48,70.8,1,0.0,0.0,3906665,+110,−140,122.78538233786139,14.314398306279195,2
0,0.5,0,Shooting Guard,22,steals,0.3,0.6,0.55,22,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,0,30.259999999999998,30.259999999999998,2490149,−188,+145,79.58311666704698,26.967221967046306,4
0,22.5,0,Shooting Guard,23,points,0.6,0.4,0.03,21,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,1,30.259999999999998,30.259999999999998,2490149,−115,−115,79.58311666704698,26.967221967046306,4
0,3.5,0,Shooting Guard,15,3-pt,0.4,0.4,0.32,7,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,1,30.259999999999998,30.259999999999998,2490149,+105,−135,79.58311666704698,26.967221967046306,4
0,3.5,1,Shooting Guard,11,assists,0.4,0.8,0.52,23,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,1,30.259999999999998,30.259999999999998,2490149,−154,+120,79.58311666704698,26.967221967046306,4
0,3.5,0,Shooting Guard,21,rebounds,0.4,0.8,0.52,22,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,1,30.259999999999998,30.259999999999998,2490149,−115,−115,79.58311666704698,26.967221967046306,4
0,30.5,0,Shooting Guard,22,pra,0.5,0.4,0.45,22,243.5,1.4,Memphis,-0.6,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,38.61999999999999,45.56666666666666,1,30.259999999999998,30.259999999999998,2490149,−110,−120,79.58311666704698,26.967221967046306,4
1,1.5,0,Small Forward,13,3-pt,0.1,0.2,0.26,9,217.5,-2.4,Portland,-1.1,POR -1.5,2025-01-24 14:00:08.318488,0,0,1,39.239999999999995,37.63333333333333,0,41.660000000000004,41.660000000000004,3138161,+124,−160,14.62446464013371,14.326746922980448,2
1,19.5,0,Small Forward,24,pra,0.1,0.2,0.16,26,217.5,-2.4,Portland,-1.1,POR -1.5,2025-01-24 14:00:08.318488,0,0,1,39.239999999999995,37.63333333333333,0,41.660000000000004,41.660000000000004,3138161,−105,−125,14.62446464013371,14.326746922980448,2
1,2.5,0,Small Forward,20,assists,0.4,0.2,0.39,29,217.5,-2.4,Portland,-1.1,POR -1.5,2025-01-24 14:00:08.318488,0,0,1,39.239999999999995,37.63333333333333,0,41.660000000000004,41.660000000000004,3138161,−154,+120,14.62446464013371,14.326746922980448,2
1,4.5,0,Small Forward,26,rebounds,0.5,0.2,0.53,28,217.5,-2.4,Portland,-1.1,POR -1.5,2025-01-24 14:00:08.318488,0,0,1,39.239999999999995,37.63333333333333,0,41.660000000000004,41.660000000000004,3138161,−140,+110,14.62446464013371,14.326746922980448,2
0,5.5,0,Center,23,points,0.5,0.4,0.03,24,243.5,9.7,Memphis,1.3,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,46.67999999999999,47.23333333333333,0,20.0,20.0,2451037,−125,−105,79.58311666704698,11.801282105627772,4
0,5.5,0,Center,21,rebounds,0.7,0.8,0.32,11,243.5,9.7,Memphis,1.3,MEM -9.5,2025-01-24 14:00:08.318488,0,2,1,46.67999999999999,47.23333333333333,1,20.0,20.0,2451037,−115,−115,79.58311666704698,11.801282105627772,4
