homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
0,0.5,1,Point Guard,24,3-pt,0.3,0.2,0.32,27,Okla City,240,3.2,-0.1,14
0,2.5,0,Point Guard,24,3-pt,0.3,0.4,0.56,27,Okla City,240,-1.7,-1.5,14
0,24.5,0,Point Guard,13,points,0.4,0.4,0.0,9,Okla City,240,-1.7,-1.5,14
0,3.5,0,Point Guard,27,rebounds,0.4,0.4,0.58,23,Okla City,240,-1.7,-1.5,14
0,32.5,0,Point Guard,17,pra,0.3,0.2,0.64,12,Okla City,240,-1.7,-1.5,14
0,4.5,1,Point Guard,19,assists,0.4,0.4,0.58,12,Okla City,240,-1.7,-1.5,14
0,13.5,0,Point Guard,4,points,0.6,0.6,0.0,5,Miami,216,0.6,-0.2,4
0,2.5,0,Point Guard,22,3-pt,0.6,0.6,0.5,25,Miami,216,0.6,-0.2,4
0,21.5,0,Point Guard,7,pra,0.5,0.4,0.65,7,Miami,216,0.6,-0.2,4
0,3.5,0,Point Guard,9,rebounds,0.5,0.4,0.58,5,Miami,216,0.6,-0.2,4
0,4.5,0,Point Guard,18,assists,0.5,0.8,0.56,19,Miami,216,0.6,-0.2,4
0,0.5,1,Power Forward,24,3-pt,0.5,0.4,0.43,29,Okla City,240,0.4,-1.4,14
0,13.5,0,Power Forward,27,rebounds,0.6,0.6,0.37,27,Okla City,240,0.4,-1.4,14
0,19.5,1,Power Forward,13,points,0.3,0.4,0.02,15,Okla City,240,0.4,-1.4,14
0,43.5,1,Power Forward,17,pra,0.6,0.8,0.43,14,Okla City,240,0.4,-1.4,14
0,8.5,1,Power Forward,19,assists,0.5,0.6,0.41,13,Okla City,240,0.4,-1.4,14
0,1.5,0,Small Forward,24,3-pt,0.7,0.6,0.53,16,Okla City,240,-0.3,2.2,14
0,13.5,1,Small Forward,13,points,0.5,0.4,0.02,3,Okla City,240,-0.3,2.2,14
0,17.5,0,Small Forward,17,pra,0.6,0.4,0.35,3,Okla City,240,-0.3,2.2,14
0,3.5,0,Small Forward,27,rebounds,0.6,0.4,0.43,12,Okla City,240,-0.3,2.2,14
1,1.5,0,Shooting Guard,23,3-pt,0.4,0.4,0.56,20,Sacramento,240,-4.9,-2.3,14
1,6.5,0,Shooting Guard,22,points,0.3,0.2,0.02,24,Sacramento,240,-4.9,-2.3,14
1,1.5,1,Forward,23,3-pt,0.5,0.6,0.41,9,Sacramento,240,-1.2,1.3,14
1,18.5,1,Forward,22,points,0.7,0.6,0.0,25,Sacramento,240,-1.2,1.3,14
1,28.5,1,Forward,19,pra,0.3,0.2,0.41,10,Sacramento,240,-1.2,1.3,14
1,4.5,1,Forward,22,assists,0.6,0.6,0.48,10,Sacramento,240,-1.2,1.3,14
1,4.5,1,Forward,13,rebounds,0.3,0.2,0.41,7,Sacramento,240,-1.2,1.3,14
0,1.5,1,Shooting Guard,22,3-pt,0.2,0.0,0.56,25,Miami,216,0.5,-3.7,4
0,19.5,1,Shooting Guard,4,points,0.3,0.4,0.0,21,Miami,216,0.5,-3.7,4
0,29.5,1,Shooting Guard,7,pra,0.4,0.4,0.6,22,Miami,216,0.5,-3.7,4
0,3.5,0,Shooting Guard,18,assists,0.6,0.6,0.5,16,Miami,216,0.5,-3.7,4
0,5.5,1,Shooting Guard,9,rebounds,0.7,1.0,0.5,23,Miami,216,0.5,-3.7,4
0,26.5,0,Small Forward,4,points,0.5,0.6,0.02,15,Miami,216,0.3,1.6,4
0,3.5,0,Small Forward,22,3-pt,0.3,0.6,0.35,19,Miami,216,0.3,1.6,4
0,39.5,1,Small Forward,7,pra,0.5,0.6,0.49,16,Miami,216,0.3,1.6,4
0,4.5,1,Small Forward,18,assists,0.6,0.8,0.49,25,Miami,216,0.3,1.6,4
0,8.5,1,Small Forward,9,rebounds,0.5,0.4,0.43,9,Miami,216,0.3,1.6,4
1,0.5,1,Shooting Guard,23,3-pt,0.4,0.6,0.51,20,Sacramento,240,1.9,0.8,14
1,10.5,0,Shooting Guard,22,points,0.5,0.4,0.02,24,Sacramento,240,1.9,0.8,14
1,21.5,0,Shooting Guard,19,pra,0.4,0.4,0.51,17,Sacramento,240,1.9,0.8,14
1,4.5,0,Shooting Guard,22,assists,0.4,0.4,0.41,8,Sacramento,240,1.9,0.8,14
1,6.5,0,Shooting Guard,13,rebounds,0.3,0.2,0.41,2,Sacramento,240,1.9,0.8,14
0,1.5,1,Point Guard,22,3-pt,0.6,0.6,0.55,25,Miami,216,-1.1,-1.3,4
0,12.5,1,Point Guard,4,points,0.6,0.6,0.0,5,Miami,216,-1.1,-1.3,4
0,21.5,1,Point Guard,7,pra,0.7,0.8,0.57,7,Miami,216,-1.1,-1.3,4
0,4.5,1,Point Guard,18,assists,0.4,0.4,0.47,19,Miami,216,-1.1,-1.3,4
0,4.5,0,Point Guard,9,rebounds,0.5,0.6,0.74,5,Miami,216,-1.1,-1.3,4
0,1.5,0,Small Forward,24,3-pt,0.4,0.2,0.55,16,Okla City,240,-5.2,-5.0,14
